,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
1073,1.0,3206.64,513.06,0.0,0.0,3719.7,3719.7
1074,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1076,1.0,2750.0,440.0,0.0,0.0,3190.0,3190.0
1077,1.0,6699.0,1071.84,0.0,0.0,7770.84,7770.84
1078,1.0,58.04,9.29,0.0,0.0,67.33,67.33
1079,1.0,843.98,135.04,0.0,0.0,979.02,979.02
1080,1.0,846.0,135.36,0.0,0.0,981.36,981.36
1081,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1082,1.0,100.22,16.03,0.0,0.0,113.04,113.04
1083,1.0,4999.9,799.99,0.0,0.0,5799.889999999999,5799.89
1084,1.0,2360.46,377.67,0.0,0.0,2738.13,2738.13
1085,1.0,330.01,52.8,0.0,0.0,382.81,382.81
1086,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1087,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,1.0,107.13,17.14,0.0,0.0,124.27,124.27
1089,1.0,180.0,28.8,0.0,0.0,202.8,202.8
1090,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,1.0,356.5,57.04,0.0,0.0,413.54,413.54
1092,1.0,4539.6,726.34,0.0,0.0,5265.9400000000005,5265.94
1093,1.0,6598.23,1055.72,0.0,0.0,7258.0599999999995,7258.06
1094,1.0,159.05,25.45,0.0,0.0,184.5,184.5
1095,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1096,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1097,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,1.0,3000.0,480.0,0.0,0.0,3480.0,3480.0
1099,1.0,1420.77,227.32,0.0,0.0,1648.09,1648.09
1100,1.0,815.02,130.4,0.0,0.0,945.42,945.42
1101,1.0,815.02,130.4,0.0,0.0,945.42,945.42
1102,1.0,336.9,55.03,0.0,0.0,391.92999999999995,398.99
1103,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1104,1.0,2846.35,455.42,0.0,0.0,3301.77,3301.77
1105,1.0,0.0,0.0,0.0,0.0,0.0,2917.6
1106,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1107,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1108,1.0,598.0,92.11,0.0,0.0,690.11,690.11
1109,1.0,6665.4,1066.46,0.0,0.0,7731.86,7731.86
1110,1.0,6178.2,988.51,0.0,0.0,7166.71,7166.71
1111,1.0,1000.0,160.0,0.0,0.0,1160.0,1160.0
1112,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1113,1.0,1932.69,315.73,0.0,0.0,2248.42,2289.01
1114,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1115,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1116,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1117,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1118,1.0,1767.52,285.06,0.0,0.0,2052.58,2066.75
1119,1.0,539.0,86.24,0.0,0.0,625.24,625.24
